epoch;loss;mean_absolute_error;mean_squared_error;rmse;val_loss;val_mean_absolute_error;val_mean_squared_error;val_rmse
0;513.7921752929688;18.117982864379883;513.7921752929688;22.666982650756836;107.05219268798828;7.344588279724121;107.05219268798828;10.346602439880371
1;110.32086181640625;7.611258029937744;110.32086181640625;10.503373146057129;105.15955352783203;7.314449310302734;105.15955352783203;10.254733085632324
2;108.24475860595703;7.520508289337158;108.24475860595703;10.404073715209961;103.17631530761719;7.148568153381348;103.17631530761719;10.157573699951172
3;107.30086517333984;7.476771831512451;107.30086517333984;10.358613014221191;102.00782012939453;7.2310566902160645;102.00782012939453;10.099891662597656
4;106.30348205566406;7.427024841308594;106.30348205566406;10.310358047485352;101.62686157226562;7.016531467437744;101.62686157226562;10.081014633178711
5;105.99584197998047;7.422017574310303;105.99584197998047;10.295428276062012;100.77281951904297;7.126558303833008;100.77281951904297;10.038566589355469
6;105.29591369628906;7.405640602111816;105.29591369628906;10.26137924194336;100.5542984008789;7.166697978973389;100.5542984008789;10.027676582336426
7;104.64993286132812;7.366098880767822;104.64993286132812;10.229854583740234;100.35356903076172;7.07748556137085;100.35356903076172;10.01766300201416
8;104.5257797241211;7.361577987670898;104.5257797241211;10.223784446716309;99.39897918701172;6.9705328941345215;99.39897918701172;9.969903945922852
9;103.61054992675781;7.32535982131958;103.61054992675781;10.178926467895508;99.47738647460938;6.891982078552246;99.47738647460938;9.973834991455078
10;103.87178039550781;7.3284382820129395;103.87178039550781;10.191750526428223;99.67132568359375;7.145525932312012;99.67132568359375;9.983552932739258
11;103.7197265625;7.3245720863342285;103.7197265625;10.184288024902344;98.65508270263672;6.975395679473877;98.65508270263672;9.932526588439941
12;103.22570037841797;7.313393592834473;103.22570037841797;10.160004615783691;98.92064666748047;6.845311641693115;98.92064666748047;9.94588565826416
13;103.23392486572266;7.296701431274414;103.23392486572266;10.160409927368164;98.54473114013672;7.037967681884766;98.54473114013672;9.926969528198242
14;102.55166625976562;7.2851338386535645;102.55166625976562;10.126779556274414;98.80919647216797;7.0317606925964355;98.80919647216797;9.940281867980957
15;102.63227844238281;7.279018878936768;102.63227844238281;10.130759239196777;98.72847747802734;6.872437477111816;98.72846221923828;9.936219215393066
16;102.26850891113281;7.261297702789307;102.26850891113281;10.112789154052734;98.98582458496094;7.242437362670898;98.98582458496094;9.949162483215332
17;101.75162506103516;7.248197078704834;101.75162506103516;10.087201118469238;98.75592041015625;6.9488115310668945;98.75592041015625;9.937601089477539
